epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,24396.7,0.79984,0.73809,1.09922,0.74205,0.69231,0.71753,0.49281,0.96807,0.94891,1.1968,0.000812,0.000812,0.000812
74,24561.3,0.7738,0.68116,1.10026,0.71137,0.75901,0.71928,0.50127,0.91786,0.91832,1.18322,0.0007955,0.0007955,0.0007955
75,24721.9,0.69286,0.58538,0.98806,0.88719,0.60597,0.71638,0.51771,0.86519,0.97915,1.12574,0.000779,0.000779,0.000779
76,24883,0.81952,0.68717,1.12217,0.83077,0.75619,0.74,0.55125,0.97133,1.02328,1.19203,0.0007625,0.0007625,0.0007625
77,25048.9,0.8136,0.79913,1.00716,0.99645,0.61538,0.73546,0.53666,1.00661,1.01871,1.19681,0.000746,0.000746,0.000746
78,25218.9,0.82713,0.73747,1.10104,0.9808,0.61538,0.72557,0.50854,0.99318,0.92703,1.20928,0.0007295,0.0007295,0.0007295
79,25380.9,0.72853,0.65921,1.02226,0.79644,0.69231,0.74264,0.51009,0.98015,0.936,1.20009,0.000713,0.000713,0.000713
80,25548.9,0.69575,0.63769,1.01152,0.80674,0.69231,0.74221,0.50204,1.02008,0.98587,1.20621,0.0006965,0.0006965,0.0006965
81,25709.2,0.593,0.58221,0.93384,0.88811,0.69231,0.7433,0.49376,1.01149,0.94305,1.18531,0.00068,0.00068,0.00068
82,25870.4,0.77851,0.63067,1.19621,0.89143,0.69231,0.74868,0.49859,0.9929,0.96614,1.17902,0.0006635,0.0006635,0.0006635
83,26028.6,0.67947,0.62564,1.03441,0.89981,0.69102,0.75385,0.49594,0.96582,1.01668,1.1651,0.000647,0.000647,0.000647
84,26188.9,0.68444,0.61995,1.03539,1,0.67626,0.77169,0.52221,0.93789,1.00152,1.12514,0.0006305,0.0006305,0.0006305
85,26355.7,0.7063,0.60999,1.0487,1,0.69088,0.79251,0.53075,0.94391,0.95731,1.12818,0.000614,0.000614,0.000614
86,26525,0.60866,0.59402,0.96891,0.93506,0.69231,0.7966,0.55285,0.89346,0.86814,1.1131,0.0005975,0.0005975,0.0005975
87,26686.7,0.63601,0.65327,1.0251,0.96951,0.69231,0.80736,0.55175,0.88722,0.87602,1.10821,0.000581,0.000581,0.000581
88,26854.6,0.7414,0.7089,1.08419,0.97704,0.69231,0.79567,0.55432,0.91441,0.82738,1.11775,0.0005645,0.0005645,0.0005645
89,27018.1,0.63772,0.56397,1.01792,0.98496,0.69231,0.78885,0.55877,0.92699,0.72979,1.11147,0.000548,0.000548,0.000548
90,27181.9,0.62445,0.57692,1.0403,0.98531,0.69231,0.7903,0.55975,0.91845,0.73078,1.10957,0.0005315,0.0005315,0.0005315
91,27345.1,0.544,0.58045,0.91167,0.98668,0.69231,0.79876,0.57774,0.90669,0.68268,1.11763,0.000515,0.000515,0.000515
92,27507.3,0.55934,0.55568,0.86744,0.98481,0.69231,0.80175,0.5651,0.90249,0.66425,1.12961,0.0004985,0.0004985,0.0004985
93,27667.5,0.91341,0.85137,1.10709,0.98631,0.69231,0.81756,0.56333,0.8898,0.66452,1.13792,0.000482,0.000482,0.000482
94,27829.5,0.6315,0.58789,0.9644,0.98405,0.69231,0.81416,0.55717,0.91054,0.66422,1.13625,0.0004655,0.0004655,0.0004655
95,27991.7,0.57571,0.55021,0.92178,0.90773,0.75769,0.83248,0.56454,0.90595,0.64774,1.15491,0.000449,0.000449,0.000449
96,28156.6,0.63247,0.63847,1.03868,0.98482,0.69231,0.83657,0.56648,0.88592,0.65048,1.16149,0.0004325,0.0004325,0.0004325
97,28315,0.60386,0.61636,1.01809,0.98621,0.69231,0.84202,0.57629,0.83559,0.66036,1.15006,0.000416,0.000416,0.000416
98,28478.9,0.80818,0.71406,1.0817,0.90742,0.75508,0.85364,0.57959,0.81054,0.6354,1.14311,0.0003995,0.0003995,0.0003995
99,28641.1,0.48934,0.52329,0.92843,0.90098,0.76923,0.86416,0.58425,0.81647,0.66753,1.12581,0.000383,0.000383,0.000383
100,28802.6,0.55098,0.55881,0.8867,0.89417,0.76923,0.86783,0.56235,0.85489,0.69692,1.1208,0.0003665,0.0003665,0.0003665
101,28964.9,0.6614,0.5877,1.05084,0.88796,0.76923,0.84669,0.55321,0.8223,0.70654,1.08482,0.00035,0.00035,0.00035
102,29127,0.66272,0.58864,1.02478,0.90101,0.76923,0.83174,0.55502,0.82025,0.73241,1.107,0.0003335,0.0003335,0.0003335
103,29288.2,0.57235,0.60381,0.95007,1,0.75903,0.83326,0.55496,0.86021,0.70002,1.13512,0.000317,0.000317,0.000317
104,29453.5,0.68562,0.60587,1.04429,0.99095,0.69231,0.81983,0.53916,0.85084,0.72445,1.12882,0.0003005,0.0003005,0.0003005
105,29613,0.58505,0.61996,1.00888,0.99131,0.69231,0.81376,0.54762,0.87924,0.75177,1.15233,0.000284,0.000284,0.000284
106,29771.4,0.66315,0.52532,1.02426,0.99129,0.69231,0.81293,0.53995,0.87982,0.7234,1.15369,0.0002675,0.0002675,0.0002675
107,29926.5,0.75528,0.63547,1.02981,0.99107,0.69231,0.81951,0.55017,0.90934,0.68992,1.17952,0.000251,0.000251,0.000251
108,30085.4,0.59493,0.58296,0.98378,0.98854,0.69231,0.8371,0.58354,0.8974,0.67517,1.17101,0.0002345,0.0002345,0.0002345
109,30250.2,0.57584,0.5281,1.03217,0.98801,0.69231,0.84929,0.59745,0.89027,0.6494,1.16397,0.000218,0.000218,0.000218
110,30421.8,0.61616,0.59385,0.91334,0.90853,0.7645,0.85705,0.62143,0.88815,0.58656,1.16455,0.0002015,0.0002015,0.0002015
111,30604.8,0.64243,0.56046,1.04675,0.9127,0.84615,0.8965,0.63925,0.86692,0.52883,1.13505,0.000185,0.000185,0.000185
112,30757.7,0.48379,0.51548,0.93246,0.92301,0.92231,0.90731,0.66263,0.84753,0.50542,1.12867,0.0001685,0.0001685,0.0001685
113,30914.8,0.52032,0.45621,0.97493,0.89325,0.92308,0.90731,0.65917,0.79438,0.47701,1.11712,0.000152,0.000152,0.000152
114,31069.8,0.45125,0.44196,0.95049,0.91705,0.92308,0.90731,0.64659,0.74838,0.48016,1.09036,0.0001355,0.0001355,0.0001355
115,31220,0.4841,0.43472,0.97351,0.91304,0.92308,0.90731,0.66142,0.68567,0.5118,1.02457,0.000119,0.000119,0.000119
116,31369.7,0.51781,0.47752,1.02282,0.91055,0.92308,0.90731,0.64515,0.68096,0.53639,1.02013,0.0001025,0.0001025,0.0001025
117,31527.2,0.49779,0.47106,0.96685,0.90841,0.92308,0.90731,0.63698,0.68449,0.53849,1.0194,8.6e-05,8.6e-05,8.6e-05
118,31683.9,0.48687,0.4821,0.94094,0.90728,0.92308,0.90731,0.62928,0.69318,0.52548,1.01941,6.95e-05,6.95e-05,6.95e-05
119,31833.7,0.50551,0.4461,0.95894,0.92055,0.89279,0.90731,0.62219,0.70023,0.52608,1.01931,5.3e-05,5.3e-05,5.3e-05
120,31986.3,0.53756,0.48378,1.01787,0.91921,0.87667,0.90731,0.6218,0.70482,0.52662,1.01992,3.65e-05,3.65e-05,3.65e-05
